LAMMPS (15 May 2015)
Reading data file ...
  orthogonal box = (-10.7281 -10.7281 -2.60084) to (10.7281 10.7281 2.60084)
  2 by 2 by 1 MPI processor grid
  reading atoms ...
  424 atoms
212 atoms in group positive_ions
212 atoms in group negative_ions
424 atoms in group salt_ions
PPPMDisp initialization ...
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
  Coulomb G vector (1/distance)= 0.359897
  Coulomb grid = 18 18 12
  Coulomb stencil order = 5
  Coulomb estimated absolute RMS force accuracy = 0.000101278
  Coulomb estimated relative force accuracy = 0.000101278
  using double precision FFTs
  3d grid and FFT values/proc = 2744 972
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 8.1
Setting up run ...
Memory usage per processor = 3.81279 Mbytes
Step Temp Volume Density KinEng PotEng TotEng 
  111000    1.0255799    2394.6897   0.17705843    1.5347416  -0.23589938    1.2988422 
  112000    1.0503745    2394.6897   0.17705843    1.5718459   -0.2352307    1.3366152 
  113000     1.014972    2394.6897   0.17705843    1.5188673  -0.21432522    1.3045421 
  114000   0.93334815    2394.6897   0.17705843    1.3967203  -0.19847896    1.1982413 
  115000   0.96579755    2394.6897   0.17705843    1.4452796  -0.23803903    1.2072406 
  116000   0.91140724    2394.6897   0.17705843    1.3638865   -0.1998523    1.1640342 
  117000    1.0510561    2394.6897   0.17705843    1.5728658  -0.23601882     1.336847 
  118000   0.96884687    2394.6897   0.17705843    1.4498428  -0.25166179     1.198181 
  119000   0.97037147    2394.6897   0.17705843    1.4521243  -0.20529002    1.2468343 
  120000    1.0278666    2394.6897   0.17705843    1.5381636  -0.20606189    1.3321018 
  121000   0.99226909    2394.6897   0.17705843    1.4848932   -0.2009068    1.2839864 
  122000   0.97945449    2394.6897   0.17705843    1.4657167  -0.20378384    1.2619328 
  123000    1.0091877    2394.6897   0.17705843    1.5102114  -0.26191506    1.2482963 
  124000    1.0812097    2394.6897   0.17705843    1.6179895   -0.2666808    1.3513087 
  125000   0.95769859    2394.6897   0.17705843    1.4331598  -0.23832238    1.1948374 
  126000    1.0339036    2394.6897   0.17705843    1.5471978  -0.24499511    1.3022027 
